415_2,415_4,415_6,415_8,415_10,415_12,415_14,415_16,415_17,415_18,415_19,415_20,415_21,415_22,415_23,415_24,415_25,415_26,415_27,415_28,415_29,415_30,415_31,415_32,415_33,415_34
SLC35B1,,,,SUMF2,,ATP1A1,,,,CPLX1,AP000344.1,KCNIP3,AL162595.1,C8orf37-AS1,SPATA9,LMO1,CTU1,AC112777.1,AC106799.1,AC142086.4,,,,,
FCF1,,,,MRPL44,,TBRG4,,,,CPLX2,AP000345.1,KCNIP4,AL162713.2,C9orf24,SPOCK1,LMO2,CUL3,AC113137.1,AC106799.2,AC142086.6,,,,,
C6orf89,,,,GON7,,TBRG1,,,,CPNE7,AP000346.1,KCNJ6,AL162726.3,C10orf53,SPON1,LMX1A,CUL7,AC113346.2,AC106875.2,AC142381.1,,,,,
FLAD1,,,,PSMA5,,FAM168B,,,,CPNE9,AP000356.3,KCNK12,AL163540.1,C10orf67,SPR,LNCNEF,CUX2,AC113347.2,AC106881.1,AC142381.2,,,,,
FTH1,,,,GPRC5B,,RNF113A,,,,CPQ,AP000439.1,KCNK13,AL353147.1,C10orf143,SPTA1,LNCOC1,CXCR4,AC113391.1,AC106894.1,AC142381.3,,,,,
ARL6IP5,,,,PSMA4,,UGP2,,,,CPZ,AP000525.1,KCNMB4,AL353608.1,C12orf54,SPTB,LNCOG,CXXC1,AC113391.2,AC107016.2,AC142381.4,,,,,
CHAC1,,,,VAMP7,,DDT,,,,CR383656.5,AP000532.1,KCNN2,AL353608.3,C14orf132,SRD5A2,LPA,CXXC5,AC113414.1,AC107031.1,AC142384.1,,,,,
ZFPL1,,,,PSMA2,,MAPK1,,,,CR559946.1,AP000532.2,KCNQ3,AL353621.2,C16orf78,SRGAP2-AS1,LPL,CYB5R4,AC113554.1,AC107057.1,AC144573.1,,,,,
GLUL,,,,TMEM106B,,TP73-AS1,,,,CR559946.2,AP000552.1,KCTD8,AL353704.2,C16orf97,SRGAP2B,LPXN,CYB561D1,AC113607.1,AC107223.1,AC145350.3,,,,,
SEPHS2,,,,TMF1,,BUB1,,,,CRACR2B,AP000553.5,KCTD11,AL353811.1,C17orf77,SSR4,LRATD1,CYP2C8,AC113615.1,AC107373.1,AC145350.4,,,,,
TNS2,,,,RPS27L,,AL158050.1,,,,CRCT1,AP000679.1,KCTD16,AL354695.1,C18orf54,SSTR2,LRCH4,CYP2C18,AC113615.2,AC107373.3,AC145625.2,,,,,
RPS12,,,,CCNDBP1,,ATP13A1,,,,CREB3L3,AP000721.2,KDM8,AL354702.1,C21orf91,ST3GAL1,LRFN5,CYP4F62P,AC114291.1,AC107892.1,AC148477.2,,,,,
SKP1,,,,FSTL3,,LIMK1,,,,CREB5,AP000867.4,KHDRBS2,AL354766.2,CA1,ST6GAL2,LRIG1,CYP26B1,AC114501.1,AC107982.1,AC148477.3,,,,,
JMJD4,,,,UNG,,FAM167B,,,,CREG2,AP000894.3,KHSRP,AL354811.1,CA2,ST8SIA3,LRP1B,CYP51A1P2,AC114501.2,AC108002.2,AC148477.5,,,,,
ATP6V0E1,,,,TMEM69,,MLPH,,,,CRHR1,AP001107.1,KIAA0319,AL354863.1,CA3,ST8SIA6,LRP2,CYRIA,AC114803.1,AC108025.1,AC148477.8,,,,,
METTL1,,,,TMEM65,,KANSL3,,,,CRHR2,AP001107.5,KIAA0895L,AL355338.1,CA3-AS1,ST18,LRP4,DAB1,AC115282.1,AC108097.1,AC152010.1,,,,,
ARRDC2,,,,AP2S1,,LPIN3,,,,CRIP2,AP001189.1,KIF13A,AL355482.1,CA8,STK33,LRRC4C,DACH1,AC115282.2,AC108452.1,AC209005.1,,,,,
SLC35C1,,,,CLPTM1,,RALGAPA1P1,,,,CRLF1,AP001189.4,KIZ,AL355512.1,CA10,STK35,LRRC7,DACT1,AC115485.1,AC108462.1,AC215522.2,,,,,
MAPK8IP2,,,,FLNA,,OSGEPL1,,,,CRMP1,AP001360.3,KLF9,AL355916.1,CACNA1B,SUCLA2P1,LRRTM1,DACT3,AC116038.1,AC108479.1,AC217774.2,,,,,
MIF4GD,,,,PMS2,,SPRING1,,,,CROCC,AP001471.1,KLF10,AL355987.3,CACNA1C,SUCLG2-AS1,LSP1P4,DAP,AC116050.1,AC108479.2,AC231759.2,,,,,
HLA-E,,,,STAT6,,LSM10,,,,CROCC2,AP001631.1,KLF14,AL356056.1,CACNA1D,SUSD4,LSP1P5,DAXX,AC116165.1,AC108482.2,AC232323.1,,,,,
MRPS18C,,,,NCDN,,PSMD8,,,,CRTC1,AP001636.2,KLHL25,AL356094.2,CACNA1E,SV2C,LTBP3,DBX1,AC116317.1,AC108519.1,AC233263.2,,,,,
CYP27A1,,,,MEF2D,,SCAMP4,,,,CRYM,AP001825.1,KLHL29,AL356266.1,CACNA2D3,SYT9,LTBP4,DCAF4,AC116317.2,AC108690.1,AC233263.7,,,,,
AC009779.2,,,,YKT6,,FAM91A3P,,,,CSAG3,AP001972.3,KMT2C,AL356277.3,CACNB2,SYT14,LUZP2,DCAF8,AC116359.1,AC108749.1,AC233266.1,,,,,
COX7A2L,,,,CLIC4P3,,LSM12,,,,CSF1,AP001994.2,KPNB1,AL356309.2,CACNB4,SYTL5,LZTFL1,DCAF13,AC116562.2,AC109309.2,AC233266.2,,,,,
GUF1,,,,LRRC26,,PSMD6,,,,CSF2RB,AP001994.3,LAGE3,AL356417.2,CACNG2,TADA1,MAF,DCC,AC116562.3,AC109439.1,AC233702.1,,,,,
NSMF,,,,MDH1,,OTUD6B-AS1,,,,CSF3,AP001999.3,LARGE1,AL356441.1,CACNG3,TAFA4,MAFA,DCDC2C,AC116565.1,AC109446.3,AC233702.4,,,,,
AURKAIP1,,,,MDH2,,PSMD5,,,,CSMD1,AP002754.1,LCLAT1,AL356534.1,CADM1,TAL1,MAFB,DCXR,AC116609.1,AC109462.1,AC233702.9,,,,,
OBSL1,,,,USP9X,,PGAP6,,,,CSMD2,AP002784.1,LEF1,AL356585.2,CADM2,TANC2,MAGED1,DDX1,AC116609.2,AC109466.1,AC234771.1,,,,,
BEX2,,,,STAT2,,PSMD1,,,,CSNK1D,AP002815.1,LEF1-AS1,AL356585.3,CADM3,TBC1D5,MAGEL2,DDX11,AC116609.3,AC109479.1,AC234771.5,,,,,
NECAB3,,,,CLIC4P1,,STARD3,,,,CSPG4,AP002851.1,LENG1,AL356585.4,CADPS,TBX18,MAGI1,DEFB104A,AC116612.1,AC109479.2,AC234791.1,,,,,
TMEM161A,,,,STAT3,,STARD7,,,,CSPG4P10,AP003071.1,LENG9,AL356804.1,CALB1,TCAF1,MAK,DEFB106B,AC116903.2,AC109495.1,AC235565.1,,,,,
MAGED1,,,,SAMD4B,,ZNF282,,,,CSPG4P13,AP003071.3,LERFS,AL357033.3,CALB2,TCF4,MALINC1,DEFB107A,AC117460.1,AC109583.1,AC235565.2,,,,,
TEX264,,,,HNRNPUL2-BSCL2,,ZNF281,,,,CT45A2,AP003071.5,LETMD1,AL357127.1,CARD18,TCF24,MALRD1,DEFB110,AC117461.1,AC109583.2,AC236972.4,,,,,
STXBP1,,,,TMEM59,,DNTTIP2,,,,CTD-2194D22.4,AP003108.2,LGI3,AL357143.1,CARM1P1,TCHH,MAN1B1,DEFB112,AC117470.1,AC109635.2,AC239585.1,,,,,
TWF2,,,,TTLL4,,DICER1,,,,CTD-3080P12.3,AP003555.2,LGR5,AL357153.1,CARMIL1,TEKT4P2,MANF,DEFB113,AC117473.1,AC109635.3,AC239585.2,,,,,
TRMT2A,,,,ZNF219,,EML2,,,,CTNNBIP1,AP005203.1,LHX2,AL358074.1,CARTPT,TENM2,MAP3K4,DEK,AC117500.4,AC109635.4,AC239798.1,,,,,
ZNHIT2,,,,C7orf26,,SCAMP3,,,,CTNND2,AP005230.1,LHX4,AL358612.1,CASC2,TENM4,MAP3K21,DENND11,AC117945.1,AC109635.6,AC239798.2,,,,,
ZNHIT1,,,,C7orf25,,EML3,,,,CTRB2,AP005273.1,LHX5,AL358780.1,CASC16,TENT4A,MAPK4,DERL2,AC117945.2,AC109810.1,AC239800.1,,,,,
PDCD11,,,,ZBTB24,,SCAMP2,,,,CUX2,AP005273.2,LHX6,AL359198.1,CASP2,TFAP2D,MAPKAPK3,DERL3,AC118754.1,AC110023.1,AC239800.2,,,,,
DPH1,,,,ZBTB21,,SLC5A6,,,,CX3CR1,AP006222.2,LIFR,AL359232.1,CAST,TGFA,MAPT,DGAT1,AC119751.8,AC110716.1,AC239859.1,,,,,
DPH2,,,,ZC3HAV1L,,EID1,,,,CXCL12,AP006288.1,LIN52,AL359399.1,CASZ1,THSD7A,MARCHF4,DGCR6,AC120024.4,AC111006.1,AC239859.4,,,,,
DPH3,,,,SAT1,,ETHE1,,,,CXCR4,AP006333.2,LINC00261,AL359436.1,CBLB,THSD7B,MARCHF8,DGCR8,AC120036.1,AC111198.1,AC239860.1,,,,,
INPP5K,,,,STK11,,PSME3,,,,CXorf49,AP006621.2,LINC00305,AL359458.1,CBLN1,THUMPD1,MARCHF11-AS1,DGKK,AC120036.3,AC112176.1,AC239860.3,,,,,
ASL,,,,YY2,,PSME4,,,,CXorf49B,AP006621.5,LINC00368,AL359508.1,CBLN2,TIGAR,MAST4,DHFRP2,AC120193.1,AC112200.2,AC239860.4,,,,,
NMB,,,,OSBP,,PSME1,,,,CXXC5,AP007216.2,LINC00378,AL359538.3,CBWD3,TLE1,MATN4,DHRS7B,AC120498.4,AC112482.1,AC241377.2,,,,,
TMEM184B,,,,SESN2,,PSME2,,,,CYBC1,APBA2,LINC00391,AL359636.2,CBWD5,TLL1,MAZ,DHTKD1,AC120498.5,AC112482.2,AC241585.3,,,,,
GADD45B,,,,STK16,,UQCRC2,,,,CYHR1,APC2,LINC00467,AL359649.1,CBWD6,TLL2,MB21D2,DHX33,AC120498.7,AC112695.1,AC242022.2,,,,,
GADD45A,,,,KPNA6,,LETMD1,,,,CYP2A13,APCDD1L-DT,LINC00472,AL359672.1,CBX1P2,TLR5,MBD1,DHX40,AC121342.1,AC112777.1,AC242376.1,,,,,
STK11IP,,,,SLC16A6,,CGGBP1,,,,CYP2B6,APLF,LINC00554,AL359682.1,CCBE1,TMA16P1,MBD2,DIP2A,AC121757.1,AC113137.1,AC243312.1,,,,,
TMEM50A,,,,ZNF688,,PHC1P1,,,,CYP2S1,APLN,LINC00623,AL359762.1,CCDC7,TMCC3,MBOAT1,DISC1,AC121757.2,AC113346.2,AC243725.1,,,,,
SLC33A1,,,,SLC16A3,,ZNF275,,,,CYP2W1,APLP1,LINC00667,AL359764.1,CCDC15,TMEFF2,MCMBP,DKFZP434H168,AC121764.2,AC113347.2,AC243772.3,,,,,
SNHG8,,,,SLC25A44,,RETSAT,,,,CYP4F22,APOBEC3A,LINC00869,AL359764.2,CCDC33,TMEM99,MCTP1,DKK2,AC121764.3,AC113348.1,AC243960.1,,,,,
KTI12,,,,SH3GLB1,,TTYH2,,,,CYP11B1,APRT,LINC00909,AL359955.1,CCDC66,TMEM100,MDGA2,DLG4,AC122710.1,AC113391.1,AC243960.2,,,,,
SNHG9,,,,KHNYN,,FLII,,,,CYP11B2,AQP4,LINC00923,AL359979.1,CCDC68,TMEM158,ME1,DLGAP1,AC122714.2,AC113391.2,AC243960.3,,,,,
PYCR2,,,,MUL1,,MRPL18,,,,CYP21A2,AQP12A,LINC00989,AL360006.1,CCDC73,TMEM178B,MECOM,DLGAP2,AC123769.1,AC113414.1,AC243960.10,,,,,
PYCR3,,,,PRPF4B,,C22orf46,,,,CYP26A1,AQP12B,LINC01088,AL360182.2,CCDC144A,TMEM179,MEGF11,DLK2,AC123784.1,AC113554.1,AC243961.1,,,,,
C21orf91,,,,ZBTB33,,ABCB8,,,,CYP26B1,AR,LINC01096,AL360270.3,CCDC178,TMEM200A,MEIS1,DLL3,AC123786.1,AC113607.1,AC243967.1,,,,,
REX1BD,,,,TICAM1,,IQGAP1,,,,CYP26C1,ARAP1,LINC01122,AL365204.1,CCDC181,TMEM255B,METTL4,DLX1,AC123786.2,AC113615.1,AC243967.2,,,,,
OCEL1,,,,SAP30,,HACD3,,,,CYP27B1,ARC,LINC01134,AL365204.2,CCDC192,TMOD1,MEX3C,DLX6,AC123788.1,AC114291.1,AC243967.3,,,,,
MAGED4,,,,TXLNA,,SLC5A3,,,,CYRIA,ARFGAP1,LINC01137,AL365256.1,CCHCR1,TNC,MFSD4A,DMAC2L,AC123788.2,AC114300.1,AC243972.1,,,,,
TRMT12,,,,MAPKAPK3,,OAZ2,,,,CYS1,ARFRP1,LINC01140,AL365259.1,CCKBR,TNFRSF11A,MGAT1,DMRT1,AC124014.1,AC114501.1,AC243972.2,,,,,
MAGED2,,,,FSCN1,,CYB5R1,,,,CYTH4,ARHGAP6,LINC01145,AL365295.1,CCND2,TOX3,MGAT2,DMRT3,AC124254.2,AC114501.2,AC243972.3,,,,,
TMCC2,,,,ANAPC5,,PCNX4,,,,DAB1,ARHGAP22,LINC01163,AL365361.1,CCND2-AS1,TPGS2,MGMT,DMRTA1,AC124798.3,AC114808.2,AC244015.1,,,,,
ITM2B,,,,SNRNP200,,GUCD1,,,,DAB2IP,ARHGAP23,LINC01166,AL365400.1,CCR3,TPK1,MICALL2,DMRTC1,AC124852.1,AC114964.2,AC244102.1,,,,,
CDS2,,,,LRRC57,,HMGXB3,,,,DACH1,ARHGAP27,LINC01168,AL365440.1,CCR5,TPTEP1,MICB,DMTN,AC124861.2,AC115282.1,AC244102.3,,,,,
FTH1P11,,,,ARL2,,PUSL1,,,,DAGLA,ARHGAP33,LINC01210,AL390061.1,CCR5AS,TRHDE-AS1,MIDN,DNAAF3,AC124861.3,AC115282.2,AC244102.4,,,,,
RPAIN,,,,ACAT1,,ZNF266,,,,DAPK2,ARHGAP36,LINC01221,AL390067.1,CCT6B,TRIB2,MINDY3,DNAAF5,AC125421.1,AC115485.1,AC244131.2,,,,,
FTH1P10,,,,SAV1,,EDEM3,,,,DBH,ARHGAP40,LINC01250,AL390334.1,CCT6P1,TRIM5,MIR124-2HG,DNAH5,AC125421.2,AC116038.1,AC244205.1,,,,,
CITED1,,,,SOCS2,,MCTS1,,,,DBH-AS1,ARHGAP42P1,LINC01289,AL390755.1,CD1D,TRIM9,MIR124-3,DNAH8,AC125616.1,AC116050.1,AC244453.2,,,,,
GDI1,,,,BCL2L13,,ZNF263,,,,DBNDD1,ARHGAP42P2,LINC01297,AL390783.1,CD5L,TRIM36,MIR137HG,DNAJB1,AC126177.1,AC116165.1,AC244453.3,,,,,
CITED2,,,,SBNO1,,PMM1,,,,DBX1,ARHGAP42P3,LINC01388,AL390800.1,CD33,TRIM68,MIR181A1HG,DNAJB5,AC126177.3,AC116317.1,AC244502.1,,,,,
ZFAND2A,,,,SOCS3,,EDEM1,,,,DCDC2C,ARHGAP42P5,LINC01414,AL390860.1,CD40,TRPM3,MIR210HG,DNAJC1,AC126177.4,AC116317.2,AC244505.1,,,,,
FTH1P16,,,,SBNO2,,MRPL28,,,,DCLK3,ARHGAP45,LINC01435,AL390879.1,CD53,TSPAN5,MIR1915,DNAJC3,AC126177.5,AC116359.1,AC244505.4,,,,,
SRA1,,,,AC022306.1,,H1-0,,,,DDC,ARHGDIG,LINC01533,AL390961.3,CD163,TTYH1,MIR1915HG,DNAJC15,AC126177.6,AC116562.2,AC244505.6,,,,,
HCCS,,,,HYI,,MRPL24,,,,DDC-AS1,ARHGEF1,LINC01538,AL391097.2,CD163L1,TUB,MIR2277,DNAJC27,AC126335.1,AC116562.3,AC244670.1,,,,,
MYL6B,,,,SLC38A2,,H1-2,,,,DEFA3,ARHGEF4,LINC01551,AL391117.1,CD300LB,UNC5A,MIR3659HG,DNER,AC126564.1,AC116565.1,AC245036.1,,,,,
C6orf47,,,,GFPT1,,FAM220A,,,,DEFA9P,ARHGEF7,LINC01572,AL391361.2,CDH2,UNC5C,MISP3,DNMBP,AC126755.3,AC116609.2,AC245036.2,,,,,
LIMD2,,,,SRD5A3,,MRPL30,,,,DEFA11P,ARHGEF10,LINC01591,AL391416.1,CDH6,UNC13C,MKS1,DOCK3,AC126755.5,AC116609.3,AC245036.4,,,,,
HINT2,,,,BCDIN3D,,ABTB1,,,,DEFB1,ARHGEF10L,LINC01592,AL391807.1,CDH8,UNCX,MLH1,DOCK5,AC126768.1,AC116612.1,AC245036.5,,,,,
URB1-AS1,,,,NFKB2,,PSMG3,,,,DEFB104A,ARHGEF16,LINC01611,AL391832.4,CDH9,UQCC1,MLLT3,DOP1A,AC126768.2,AC116903.2,AC245052.5,,,,,
SLC22A17,,,,UBLCP1,,PSMG1,,,,DEFT1P,ARHGEF17,LINC01632,AL391834.3,CDH13,UQCRB,MLLT10,DPH6-DT,AC126768.3,AC117460.1,AC245052.6,,,,,
CHMP1B,,,,MDM2,,AVL9,,,,DEFT1P2,ARHGEF40,LINC01726,AL392023.2,CDH20,USP31,MMP2,DPP6,AC127071.2,AC117461.1,AC245052.7,,,,,
NKIRAS2,,,,ANXA2P2,,TMEM9B,,,,DENND3,ARID3C,LINC01750,AL392086.3,CDH22,VAMP9P,MMP24OS,DPP10,AC127381.1,AC117470.1,AC245056.1,,,,,
SEC61B,,,,TMEM19,,HRK,,,,DENND6B,ARLNC1,LINC01837,AL392172.1,CDK5R2,VAT1L,MMP26,DPY19L1,AC127381.2,AC117473.1,AC245060.1,,,,,
UBXN4,,,,MYD88,,PIGS,,,,DERL3,ARNT2,LINC01852,AL449043.1,CDK6,VAX1,MN1,DPY19L2P1,AC127459.2,AC117500.4,AC245060.6,,,,,
CLIC1,,,,CNTNAP1,,PIGT,,,,DGAT1,ARNTL2,LINC01902,AL450344.3,CDK6-AS1,VGLL3,MNX1,DPY19L2P2,AC127496.1,AC117945.2,AC245060.7,,,,,
TMED4,,,,EFCAB14,,HEXB,,,,DGCR5,ARRDC1,LINC01956,AL512310.2,CDK14,VSNL1,MPDZ,DPY19L3,AC127520.1,AC118282.4,AC245123.1,,,,,
PSENEN,,,,ATRAID,,PIGP,,,,DGKK,ARSA,LINC01965,AL512310.3,CDKL5,VSTM2A,MPHOSPH6,DPYD,AC127526.2,AC118754.1,AC245128.1,,,,,
MAP4K2,,,,FUNDC2,,MRPL37,,,,DGKQ,ARTN,LINC02006,AL512310.4,CDYL2,VSX2,MPP6,DPYSL2,AC128677.1,AC119396.1,AC245128.2,,,,,
PARP3,,,,SUMO3,,LITAF,,,,DHRS7C,ARVCF,LINC02018,AL512310.6,CEACAM6,WNT16,MPP7,DRD1,AC129908.1,AC119751.8,AC245164.1,,,,,
BTN3A1,,,,HMG20B,,MRPL35,,,,DIO3OS,ASAP1,LINC02021,AL512310.7,CEACAM7,WWOX,MPP7-DT,DRD3,AC129915.3,AC120036.1,AC245164.2,,,,,
PGGHG,,,,UPP1,,MRPL32,,,,DIPK1B,ASCL4,LINC02028,AL512310.9,CEACAM21,WWTR1,MRAS,DSCAM,AC130360.1,AC120036.3,AC245177.1,,,,,
TFE3,,,,VBP1,,TRMT112,,,,DIS3L2,ASGR2,LINC02073,AL512310.10,CELF2,XKR4,MRPL17,DST,AC130364.1,AC120193.1,AC245187.1,,,,,
ZDHHC12,,,,VPS37D,,MRPL40,,,,DISP2,ASIC1,LINC02109,AL512310.11,CELF4,ZBTB7C,MRPS9,DTNA,AC130364.2,AC120498.4,AC245187.2,,,,,
NME3,,,,VPS37B,,NKRF,,,,DISP3,ASIC2,LINC02180,AL512624.1,CENPVL2,ZBTB14,MRPS33,DTWD2,AC130365.1,AC120498.5,AC245369.21,,,,,
AMPD2,,,,QTRT1,,FASTK,,,,DKFZP434A062,ASIC4,LINC02188,AL512624.2,CENPVL3,ZBTB18,MSRA,DTX4,AC130456.1,AC121342.1,AC245505.2,,,,,
BTN3A3,,,,PPM1A,,SH3BGRL3,,,,DKK2,ASPG,LINC02202,AL512625.1,CEP126,ZDHHC22,MTIF3,DUSP10,AC130456.2,AC121757.2,AC245505.3,,,,,
ZBTB8OSP2,,,,HAX1,,IKBKG,,,,DLG2,ASPHD1,LINC02203,AL512625.2,CEP162,ZEB1,MTMR12,DUSP23,AC130456.3,AC121764.2,AC245519.1,,,,,
TUBG2,,,,NPC1,,AC012513.3,,,,DLG3,ASPSCR1,LINC02299,AL512625.3,CES5A,ZFHX4-AS1,MTUS2,DUXAP8,AC130456.4,AC121764.3,AC245519.2,,,,,
TYK2,,,,C9orf78,,ELOVL1,,,,DLG5,ASS1,LINC02315,AL513128.3,CFAP46,ZFPM2,MUC17,DUXAP9,AC130456.7,AC122134.1,AC245595.1,,,,,
RHOC,,,,SEC22B,,SS18,,,,DLGAP1,ASTN1,LINC02320,AL513166.1,CFAP54,ZHX2,MUTYH,DUXAP10,AC130467.1,AC122710.1,AC245748.2,,,,,
RNASEK-C17orf49,,,,SLC25A5,,UPF1,,,,DLGAP2,ASTN2,LINC02346,AL513323.1,CFAP65,ZIC2,MYADM,DYRK4,AC131055.2,AC122714.2,AC245884.2,,,,,
ZDHHC16,,,,MET,,MRPL49,,,,DLGAP2-AS1,ASXL3,LINC02391,AL513548.4,CFAP70,ZIC3,MYCN,E2F1,AC131180.1,AC123769.1,AC245884.4,,,,,
IL17RC,,,,MTRF1L,,TMEM42,,,,DLGAP3,ATOH1,LINC02620,AL583803.1,CFAP206,ZIC5,MYH9,E2F6,AC131206.1,AC123784.1,AC245884.5,,,,,
RENBP,,,,BIRC2,,LRRC41,,,,DLGAP4,ATP1A3,LINC02693,AL589182.1,CFAP299,ZNF175,MYHAS,E2F8,AC131935.1,AC123786.1,AC245884.6,,,,,
FTH1P20,,,,GTF3C1,,SUMF2,,,,DLK1,ATP2A1,LINC02741,AL589743.3,CFC1,ZNF214,MYLK-AS1,EBF1,AC131935.2,AC123786.2,AC245884.7,,,,,
SCNM1,,,,PPP1R15A,,MRPL44,,,,DLK2,ATP2A3,LINC02742,AL589923.1,CFC1B,ZNF385D,MYO18B,EBF2,AC132216.1,AC123786.3,AC245884.11,,,,,
CLDN15,,,,PPP1R15B,,PSMA5,,,,DLL1,ATP2B2,LINC02749,AL589986.1,CFTR,ZNF518A,MYOM2,EBF3,AC132217.1,AC123788.1,AC245884.12,,,,,
HNRNPH1,,,,GTF3C3,,MRPL53,,,,DLL3,ATP2B3,LINC02798,AL590132.1,CHAT,ZNF521,MYT1L,EBLN3P,AC132479.1,AC124014.1,AC246680.1,,,,,
RPUSD3,,,,LRP1,,GPRC5B,,,,DMBT1,ATP2C2,LINC02802,AL590326.1,CHD7,ZNF536,NAA60,ECHS1,AC132807.2,AC124254.2,AC246785.2,,,,,
ATP6V0C,,,,ZBTB47,,MBLAC2,,,,DMRT1,ATP4B,LLPH,AL590399.1,CHEK2P3,ZNF574,NACC2,ECPAS,AC133065.1,AC124852.1,AC246785.4,,,,,
DNASE1L1,,,,FOXK1,,PSMA4,,,,DMRT3,ATP5F1D,LMBR1,AL590652.1,CHGB,ZNF663P,NAGA,EDN1,AC133065.2,AC124861.2,AC246787.1,,,,,
AC015982.2,,,,FURIN,,VAMP7,,,,DNAH8,ATP6V0D1,LMO1,AL590677.1,CHN1,ZNRF2,NALCN,EEA1,AC133485.2,AC124861.3,AC246787.2,,,,,
MYCBP,,,,PPM1K,,PSMA2,,,,DNAI1,ATP6V1C2,LMO2,AL590705.2,CHRM2,ZSWIM5,NAP1L2,EEF1A1P17,AC133485.3,AC125421.1,AC246817.1,,,,,
SLC66A1,,,,HSD17B11,,TMEM33,,,,DNASE1L2,ATP8A2,LMX1A,AL591043.2,CHST15,,NAPEPLD,EEF2KMT,AC133485.7,AC125421.2,AC246817.2,,,,,
IFI6,,,,MFF,,PICK1,,,,DNER,ATP8B1,LNCNEF,AL591074.2,CHSY1,,NAV1,EFEMP1,AC133548.1,AC125616.1,AC247036.1,,,,,
ZDHHC24,,,,PPM1F,,TMEM106B,,,,DNMT3A,ATP8B3,LNCOC1,AL591428.1,CICP18,,NAV2,EFNA5,AC133548.2,AC126177.1,ACE3P,,,,,
AGAP2-AS1,,,,SLC25A29,,PIGM,,,,DOC2A,ATP9B,LNCOG,AL591519.1,CLC,,NBEAP3,EFNB2,AC133561.1,AC126177.2,ACER1,,,,,
LYPLA2P1,,,,SLC25A28,,PIGG,,,,DOC2B,ATP11A,LPA,AL592295.3,CLCN1,,NBEAP5,EGFEM1P,AC133634.1,AC126177.3,ACKR1,,,,,
NOL6,,,,SH3BP4,,PIGH,,,,DOCK3,ATP12A,LPL,AL593856.1,CLDND1,,NBEAP6,EGFR,AC133637.2,AC126177.4,ACSBG2,,,,,
C6orf62,,,,LRRC8A,,TMF1,,,,DOK7,AVP,LPXN,AL596087.2,CLEC4D,,NBPF15,EGR2,AC134312.1,AC126177.5,ACSL6,,,,,
EMC2,,,,IARS1,,STAU1,,,,DOT1L,AVPR2,LRATD1,AL603841.1,CLEC4E,,NCALD,EGR3,AC134682.1,AC126177.6,ACSM1,,,,,
TCEAL1,,,,ZNF622,,PELI3,,,,DPEP1,AXIN1,LRCH4,AL606752.1,CLEC6A,,NDST3,EGR4,AC134684.1,AC126335.1,ACSM2A,,,,,
EMC3,,,,ZNF621,,RPS27L,,,,DPF1,AXL,LRFN5,AL606804.1,CLIC4P1,,NEBL,EID2,AC134684.10,AC126564.1,ACSM2B,,,,,
EMC4,,,,SLC25A22,,FSTL3,,,,DPP6,AZU1,LRIG1,AL606923.2,CLK3P2,,NECTIN1,EIF2AK3-DT,AC134684.11,AC126755.3,ACSM3,,,,,
EMC7,,,,SLC25A25,,GGA2,,,,DPP7,B3GALT4,LRP1B,AL627309.1,CLP1,,NEFL,EIF2B5,AC134684.12,AC126755.5,ACSM5,,,,,
APBB3,,,,PTPN1,,TMEM69,,,,DPYSL2,B3GALT5,LRP2,AL645924.1,CLRN3,,NEK2P2,EIF2D,AC134878.2,AC126768.2,ACSM5P1,,,,,
MTX1,,,,NDUFA7,,GGA1,,,,DPYSL4,B3GAT1,LRP4,AL662873.1,CLSTN2,,NEK2P4,EIF3F,AC134915.1,AC127071.2,ACSS1,,,,,
GDF15,,,,SLC12A4,,TMEM65,,,,DPYSL5,B3GAT1-DT,LRRC4C,AL662884.3,CLSTN2-AS1,,NEK11,EIF3M,AC134978.1,AC127381.1,ACTE1P,,,,,
FAH,,,,NDUFA4,,PSMB3,,,,DRD1,B3GNT4,LRRC7,AL663058.2,CLVS1,,NELL1,EIF4E3,AC134980.1,AC127381.2,ACTL9,,,,,
AL590617.2,,,,MBOAT7,,PSMB1,,,,DRD2,B3GNT8,LRRC37A3,AL669830.1,CLVS2,,NELL2,EIPR1,AC134980.2,AC127459.2,ACTN4P2,,,,,
ERG28,,,,DONSON,,AP2S1,,,,DRD5P1,B3GNTL1,LRRTM1,AL691420.1,CLYBL,,NETO1,ELAC2,AC134981.1,AC127496.1,ACTR3BP2,,,,,
SPCS1,,,,NDUFA1,,CLPTM1,,,,DRGX,B4GALNT1,LSP1P4,AL731571.1,CLYBL-AS2,,NEUROD1,ELAVL2,AC135068.1,AC127496.7,AD000091.1,,,,,
NBR1,,,,IMMT,,PMS2,,,,DSCAM,B4GALNT3,LSP1P5,AL731574.1,CMTR2,,NEUROD2,ELDR,AC135068.5,AC127520.1,ADAM6,,,,,
COPG1,,,,LYSMD3,,STAT6,,,,DSCAML1,B4GALNT4,LTBP3,AL731577.2,CNIH3-AS2,,NEUROD4,ELMO2,AC135726.1,AC127526.2,ADAM7,,,,,
APBA3,,,,MCOLN1,,NCDN,,,,DST,B4GALT7,LTBP4,AL731769.2,CNTN1,,NEUROG2-AS1,ELMOD2,AC135782.1,AC128677.1,ADAM21P1,,,,,
SPPL2B,,,,SLC25A32,,MEF2D,,,,DTNA,BAGE2,LUZP2,AL732406.1,CNTN6,,NEXMIF,ELP2,AC135782.2,AC129908.1,ADAM28,,,,,
